templateId,canvaDesignTitle,canvaTemplateUrl
rvw-quote-01,RVW-01 Patient Quote Card 01,PLACEHOLDER_CANVA_URL
rvw-quote-02,RVW-02 Patient Quote Card 02,PLACEHOLDER_CANVA_URL
rvw-review-01,RVW-03 5-Star Review Highlight,PLACEHOLDER_CANVA_URL
rvw-review-02,RVW-04 What Patients Say About Us,PLACEHOLDER_CANVA_URL
rvw-experience-01,RVW-05 Patient Experience Timeline,PLACEHOLDER_CANVA_URL
rvw-experience-02,RVW-06 Why Clients Keep Coming Back,PLACEHOLDER_CANVA_URL
rvw-provider-01,RVW-07 Meet Your Provider Credibility Post,PLACEHOLDER_CANVA_URL
rvw-provider-02,RVW-08 Training and Certification Spotlight,PLACEHOLDER_CANVA_URL
rvw-beforeafter-01,RVW-09 Results Story Framework,PLACEHOLDER_CANVA_URL
rvw-cta-01,RVW-10 Book Your Consultation CTA,PLACEHOLDER_CANVA_URL
