templateId,canvaDesignTitle,canvaTemplateUrl
fsx-ed-01,FSX-01 Dermal Filler Basics,PLACEHOLDER_CANVA_URL
fsx-ed-02,FSX-02 Lip Filler Expectations,PLACEHOLDER_CANVA_URL
fsx-ed-03,FSX-03 Cheek and Chin Balancing Guide,PLACEHOLDER_CANVA_URL
fsx-safety-01,FSX-04 Safety First Who Is a Candidate,PLACEHOLDER_CANVA_URL
fsx-myth-01,FSX-05 Myth vs Fact Filler Migration,PLACEHOLDER_CANVA_URL
fsx-myth-02,FSX-06 Myth vs Fact Filler Looks Fake,PLACEHOLDER_CANVA_URL
fsx-consult-01,FSX-07 Filler Consultation Prep,PLACEHOLDER_CANVA_URL
fsx-promo-01,FSX-08 Signature Lip Day Promo,PLACEHOLDER_CANVA_URL
fsx-promo-02,FSX-09 Bundle and Save Filler Packages,PLACEHOLDER_CANVA_URL
fsx-cta-01,FSX-10 Book Your Filler Consultation,PLACEHOLDER_CANVA_URL
