templateId,canvaDesignTitle,canvaTemplateUrl
npm-consult-01,NPM-01 New Patient Consultation Offer,PLACEHOLDER_CANVA_URL
npm-consult-02,NPM-02 Consultation Promo Variant,PLACEHOLDER_CANVA_URL
npm-member-01,NPM-03 Membership Program Overview,PLACEHOLDER_CANVA_URL
npm-member-02,NPM-04 Membership Savings Breakdown,PLACEHOLDER_CANVA_URL
npm-ref-01,NPM-05 Referral Bonus Graphic,PLACEHOLDER_CANVA_URL
npm-ref-02,NPM-06 Bring-a-Friend Offer,PLACEHOLDER_CANVA_URL
npm-package-01,NPM-07 Package Comparison Chart,PLACEHOLDER_CANVA_URL
npm-cta-01,NPM-08 Book Your Consult Today,PLACEHOLDER_CANVA_URL
npm-cta-02,NPM-09 Limited Membership Spots,PLACEHOLDER_CANVA_URL
npm-story-01,NPM-10 Membership Story Promo,PLACEHOLDER_CANVA_URL
